Category,Cancelled_Orders,Not_Cancelled_Orders,Cancelled_Quantity,Not_Cancelled_Quantity,Cancellation_Quantity_Impact,Cancelled_Amount,Not_Cancelled_Amount,Percent_Cancellation_Sale_Impact
KURTA,4394,39742,2253,42792,40539,1026271,19425870,5.017914750343253
SET,4503,40855,2256,43033,40777,1930751,35731673,5.126465041124279
ETHNIC DRESS,87,1004,37,1016,979,27967,732744,3.6764290249516574
WESTERN DRESS,983,12924,525,13418,12893,419506,10209590,3.946770261553758
SAREE,13,123,5,147,142,3815,114694,3.2191647891721304
BLOUSE,64,784,32,831,799,16362,418389,3.7635336088933666
BOTTOM,25,356,14,384,370,4773,135453,3.4037910230627704
TOP,856,8923,535,9368,8833,299667,4904066,5.758692846077998
